Source,Target,Type,Weight
924,b,Undirected,17769
925,b,Undirected,10894
926,b,Undirected,13777
927,b,Undirected,6879
928,b,Undirected,9006
929,b,Undirected,10220
930,b,Undirected,12733
931,b,Undirected,21892
932,b,Undirected,8937
933,b,Undirected,36726
934,b,Undirected,13926
935,b,Undirected,33647
936,b,Undirected,29361
937,b,Undirected,15985
938,b,Undirected,24474
939,b,Undirected,16518
940,b,Undirected,20197
941,b,Undirected,35634
942,b,Undirected,20553
943,b,Undirected,11833
944,b,Undirected,11524
945,b,Undirected,45417
946,b,Undirected,21500
947,b,Undirected,28853
948,b,Undirected,58218
949,b,Undirected,29346
950,b,Undirected,22786
951,b,Undirected,6554
952,b,Undirected,4163
953,b,Undirected,5396
954,b,Undirected,7579
955,b,Undirected,12985
956,b,Undirected,11781
957,b,Undirected,5694
958,b,Undirected,8699
959,b,Undirected,16479
960,b,Undirected,8889
961,b,Undirected,11744
962,b,Undirected,5257
963,b,Undirected,3541
964,b,Undirected,3812
965,b,Undirected,5115
966,b,Undirected,44184
967,b,Undirected,14542
968,b,Undirected,11417
969,b,Undirected,17476
970,b,Undirected,12376
971,b,Undirected,17842
972,b,Undirected,43487
973,b,Undirected,6901
974,b,Undirected,9817
975,b,Undirected,7150
976,b,Undirected,5071
977,b,Undirected,4338
978,b,Undirected,4130
979,b,Undirected,4135
980,b,Undirected,6527
981,b,Undirected,7583
982,b,Undirected,5036
983,b,Undirected,10275
984,b,Undirected,6533
985,b,Undirected,10598
986,b,Undirected,8523
987,b,Undirected,8809
988,b,Undirected,7358
989,b,Undirected,5762
990,b,Undirected,7086
991,b,Undirected,6178
992,b,Undirected,5384
993,b,Undirected,7248
994,b,Undirected,8975
995,b,Undirected,5093
996,b,Undirected,5821
997,b,Undirected,5531
998,b,Undirected,16209
999,b,Undirected,7404
1000,b,Undirected,10524
1001,b,Undirected,14229
1002,b,Undirected,4711
1003,b,Undirected,4827
1004,b,Undirected,1656
1005,b,Undirected,4993
1006,b,Undirected,23893
1007,b,Undirected,7207
1008,b,Undirected,15326
1009,b,Undirected,16771
1010,b,Undirected,10850
1011,b,Undirected,3520
1012,b,Undirected,3643
1013,b,Undirected,7408
1014,b,Undirected,9335
1015,b,Undirected,4885
1016,b,Undirected,14468
1017,b,Undirected,4222
1018,b,Undirected,4990
1019,b,Undirected,11664
1020,b,Undirected,13990
1021,b,Undirected,4919
1022,b,Undirected,1853
1023,b,Undirected,3594
1024,b,Undirected,1953
1025,b,Undirected,2652
1026,b,Undirected,1502
1027,b,Undirected,2878
1028,b,Undirected,5929
1029,b,Undirected,9263
1030,b,Undirected,7828
1031,b,Undirected,5818
1032,b,Undirected,10946
1033,b,Undirected,5940
1034,b,Undirected,20202
1035,b,Undirected,5534
1036,b,Undirected,19426
1037,b,Undirected,11951
1038,b,Undirected,12491
1039,b,Undirected,36052
1040,b,Undirected,30499
1041,b,Undirected,5843
1042,b,Undirected,52385
1043,b,Undirected,6536
1044,b,Undirected,4883
1045,b,Undirected,4282
1046,b,Undirected,2188
1047,b,Undirected,3886
1048,b,Undirected,3829
1049,b,Undirected,2003
1050,b,Undirected,3762
1051,b,Undirected,7527
1052,b,Undirected,4649
1053,b,Undirected,11627
1054,b,Undirected,6990
1055,b,Undirected,5969
1056,b,Undirected,7686
1057,b,Undirected,8339
1058,b,Undirected,7274
1059,b,Undirected,7281
1060,b,Undirected,6957
1061,b,Undirected,6420
1062,b,Undirected,5842
1063,b,Undirected,4994
1064,b,Undirected,12712
1065,b,Undirected,18686
1066,b,Undirected,8670
1067,b,Undirected,32413
1068,b,Undirected,4241
1069,b,Undirected,10151
1070,b,Undirected,5361
1071,b,Undirected,5723
1072,b,Undirected,5297
1073,b,Undirected,6033
1074,b,Undirected,10599
1075,b,Undirected,9095
1076,b,Undirected,12244
1077,b,Undirected,11792
1078,b,Undirected,8790
1079,b,Undirected,10844
1080,b,Undirected,1609
1081,b,Undirected,3811
1082,b,Undirected,2909
1083,b,Undirected,3013
1084,b,Undirected,1020
1085,b,Undirected,4805
1086,b,Undirected,2305
1087,b,Undirected,4037
1088,b,Undirected,14882
1089,b,Undirected,16323
1090,b,Undirected,7550
1091,b,Undirected,5425
1092,b,Undirected,5324
1093,b,Undirected,12665
1094,b,Undirected,3695
1095,b,Undirected,3839
1096,b,Undirected,4479
1097,b,Undirected,7502
1098,b,Undirected,15371
1099,b,Undirected,13777
1100,b,Undirected,3028
1101,b,Undirected,7037
1102,b,Undirected,2421
1103,b,Undirected,4212
1104,b,Undirected,6139
1105,b,Undirected,15192
1106,b,Undirected,8840
1107,b,Undirected,10499
1108,b,Undirected,6826
1109,b,Undirected,6851
1110,b,Undirected,6083
1111,b,Undirected,5021
1112,b,Undirected,1873
1113,b,Undirected,2044
1114,b,Undirected,3585
1115,b,Undirected,3458
1116,b,Undirected,1740
1117,b,Undirected,2021
1118,b,Undirected,3141
1119,b,Undirected,27875
1120,b,Undirected,13924
1121,b,Undirected,24466
1122,b,Undirected,10368
1123,b,Undirected,5705
1124,b,Undirected,2580
1125,b,Undirected,2493
1126,b,Undirected,4288
1127,b,Undirected,1576
1128,b,Undirected,3668
1129,b,Undirected,1828
1130,b,Undirected,1914
1131,b,Undirected,3130
1132,b,Undirected,1384
1133,b,Undirected,3040
1134,b,Undirected,24307
1135,b,Undirected,14249
1136,b,Undirected,8473
1137,b,Undirected,10396
1138,b,Undirected,3951
1139,b,Undirected,3596
1140,b,Undirected,5230
1141,b,Undirected,3311
1142,b,Undirected,1949
1143,b,Undirected,3997
1144,b,Undirected,5575
1145,b,Undirected,32336
1146,b,Undirected,25981
1147,b,Undirected,2616
1148,b,Undirected,2199
1149,b,Undirected,3864
1150,b,Undirected,1945
1151,b,Undirected,3207
1152,b,Undirected,1465
1153,b,Undirected,3006
